rank,fitness_,ctk_string
166,2541.3761676484596,C[f(HB2[t(B2[l(B2[l(B6[t(B)])]H2H2HH6H4)]H4)]H)]
167,2541.2526636130215,C[l(B4[r(BHH2H2H6)]H)r(B6H2)f(H2H2B4H6)]
168,2541.2012608258037,C[l(B2HB[b(B2HH2H4H2H)])r(B4H2)f(H4H4)]<t(B)>
169,2541.0192279972916,C[r(B6[r(B4B2HH6H6)b(B6)]H4)]<t(BH4)>
170,2539.686785548704,C[l(B2[b(B4)t(B6)l(B6[r(B6)]H6H2B2H6HH6H6)])]
171,2539.6288735174176,C[l(B6B[l(B6[r(B4B6[l(B2[r(B)]H4B4H)])]B2H6H4)])]
172,2539.349706643295,C[f(H2H)]<t(B2[r(B4BB6)]B4[t(B4HH)]H2H4)>
173,2539.119770072797,C[r(B6[r(B6[r(B4[t(B6[l(B6H4)])])])]B4H)f(H6H6H4)]
174,2538.735194359332,C[r(B2[t(B4[b(B2)]H4H)]HB[r(B2H4H2H4)l(BH2)])f(H2)]
175,2538.4080554813636,C[f(HH4H6)]<t(B4[b(B6B2H4BH6H6H2)])>
176,2538.314329366094,C[r(B2[b(B4B)]B[r(B4[r(B)]H4)]H4H6H6)]<t(B6H2H4)>
177,2537.793631442226,C[f(HHH4H6H4)]<t(B2B4[t(B4B2H6H4)]H6H6)>
178,2537.7186293802906,C[f(H2H4)]<t(B[b(B4H6H6)r(B4[r(B6)]H4)]H6HH2)>
179,2537.6298492868436,C[f(B2[b(B)r(B4B6[b(BH6B2H)]H2B6[t(B2)])])]
180,2537.139151856068,C[f(H6B6B6[t(B6H4H2H)r(B6[b(B6H6)]H6H6)l(BBH6)])]
181,2536.854213588747,C[r(B6[t(B4[t(B2H2H)]B2B4H4)])]<t(B6H2HH4)>
182,2536.7616513041576,C[r(B[t(B2H4B2[t(B6[t(B6)])]H6)]HHH2HB)f(H2HH4)]
183,2536.697255512122,C[l(B2[l(B2[b(B6[b(B4H2H2H2)l(B6H4H4)]B4B2H)])b(B6)])]
184,2536.570480750007,C[f(H6H6B6[b(B4H4)])]<t(B4[r(B2H)b(B4[l(B6)])]H6B4H6H4)>
185,2536.451872204148,C[r(B6[r(B4[t(B4)]H6H6H6)])l(B[l(B4[b(B2)t(B6H6)]H2H6)])]
186,2536.069421299224,C[f(H4H2H6B6[r(B2[t(B)]HB6[l(B4)t(B4H2)]H)])]
187,2535.958392207842,C[l(B[b(B4)])]<t(B4[t(B4[b(B4[t(B2[l(B6)]H)]H2H6)]H6H2)]BH2)>
188,2535.346887524221,C[r(B2[t(B6H4H2H2)r(B[r(B)])]H4)]<t(B[l(B2H)])>
189,2534.1229279002405,C[f(B4[l(B[r(B6)t(B6[r(B[b(B6B6H6H6H)])]H)]HH6H6)]B2)]
190,2532.690980908032,C[l(B6[r(B[b(B[t(B4[t(B6[l(B)r(B[r(B6[l(B)t(B6)]H4)])]H)])])])]H2H2)]
191,2532.21388177401,C[l(B2[b(B2HH6B[l(B4H6HB4H2)]HH)])f(H6H)]
192,2531.1396451833884,C[l(B4[r(B6[t(B4)]HH6)b(B[r(B[l(B6H2)]H)])]H4)f(H6B4H4H4H2)]
193,2531.132255991833,C[r(B2[t(B2[t(B6)]B6)]B[b(B2[l(B2)r(B[r(B)l(BH)]B[r(B4)])])]H)]
194,2530.9081160745836,C[l(B2[t(B4[t(B6)]HHH4H6H4H6)])]
195,2530.8401067167765,C[r(B4)f(H4B2[l(B4B6B2[r(B6)])]HHHHH2H6)]<t(B)>
196,2530.745377025758,C<t(B[r(B2)]H4B[l(B2[b(B6[t(B2[t(B6H6H6)])])]H)]H4H)>
197,2530.51540796475,C[l(B6)r(B6[t(B)]B2[b(B6H6)]B2B)f(B6[t(B4)]H2HH2H)]
198,2530.262253012361,C[f(B4[b(B[l(B6[r(B2[l(B2H6)])])]H2)])r(B[r(B2[t(B2B4H6HH4)]H6H2)]H2)]
199,2529.9876335537533,C[f(H2H6)]<t(B[b(B4[t(B4[b(B[t(B)l(B6H2)])])])]H6)>
200,2529.966340311817,C<t(B[r(B4B[r(B)b(B2H)t(BH)])]HHH)>
201,2529.6070566368385,C[l(B4H6H6B4[l(B[b(B[b(BH4H6)]H6)]H)])]
202,2529.578410613522,C[f(B[b(B6B4)])l(B[l(B4[t(B[b(B2H4)]HH2)]HH6H2)])]
203,2529.0953721253427,C[l(B2[t(B6)b(B6[b(B2[t(B2H4H6)])r(B6[b(BH4)]H4)]H4H6)])]
204,2527.551853643389,C[r(B2[t(B4[l(B6[l(B[b(B6H2H6)]H)]H6H2)])]H4H4)]
205,2527.4378922518017,C[f(H6H4H4HH6H6)]<t(B6[r(B)]B2[t(B4)l(BHH2H4H)])>
206,2527.275650234924,C[l(B4[r(B4H2)l(B6[r(B6[l(B)]H4H6HH4)]HH4)])f(H6H4)]
207,2527.222700398762,C<t(B[l(B6B4[b(B6[l(B[b(BH6)]BH6H4H4)]H)])]H2)>
208,2527.0924423506476,C[f(H6B4[b(B)])]<t(B4[l(B2[t(B6)r(B6[t(B)r(B2[r(B6[l(B2)])]H2)])]H6)]H4H4)>
209,2527.0844427245947,C[f(B[r(B[b(B2B2H6HH6H2)r(B6)]H6H6)]H4)]
210,2526.665281816937,C[r(B[r(B2[b(B2HB2[t(BH)])]HH2)]H4B6[l(B4)t(B[b(B)])])f(H4)]
211,2526.5294080627737,C[l(B2[r(B2[b(B4[t(B2)])]HH4H6H)t(B2[l(B4[r(B4H)])])])f(H2)]
212,2526.1778670378985,C[f(B6[b(B4H6)r(BH6H2H2HH)])]<t(B4H2)>
213,2526.058539635038,C[r(B4[l(B6H4)r(B6[t(BH4H2)])]B4H)f(H6H2H4)]
214,2525.790854549458,C[r(B[l(B2[l(B)]H2)]B4B6)l(B[r(B4HH4)]H6)]
215,2525.2773106793547,C[f(B4[b(B4[r(B2H6)]H)t(B4[t(B6H6H2)]H4H2)]H)]
216,2524.7648897215613,C[f(B6H6)r(B6[t(B6[l(B[b(B4HH2)])]H2H)]B6B6)]
217,2524.610803658018,C[f(H4H6H6B4)]<t(B6[t(B4H2H2)]H2H4H6)>
218,2524.439414261279,C[r(B4[r(B4[t(B4H4)]H4H4H4H4)b(BH4)])f(HH4)]<t(B6H2)>
219,2524.2190781437903,C[f(H6H6H4H4)]<t(B6[b(B2H2)t(B6)l(B6[r(B6[l(B6)])])]H)>
220,2524.1699489648563,C[f(H2H6)]<t(B6[b(B2)l(B2H6H2)t(B6[l(B)b(B6)])]H6HH4H4)>
221,2523.311935365023,C[f(H4)]<t(B2[l(B)t(B6[b(B6[l(B6)r(B[t(B2B4)])])]H2H2H2H4H2H4)])>
222,2522.779640430978,C[r(B2[l(B2[b(B2)]H6H6H4)]H4HH6HH4H4)l(BHH6)]
223,2522.638941237615,C[f(B2[t(BH6H2B2HH6HH)]B6[l(B6H6B[l(B2)]H6)])]
224,2522.60096060465,C[l(B6[t(B6[t(B4[r(B2)]H)])]H2)r(B[t(B6H6H4)])f(H2H)]
225,2522.174530658256,C[r(B6B6[r(BB)]H4H4B4)f(H2B6[t(B4)r(B[t(B4)]H6H6H4)])]
226,2521.6489280055466,C[l(B[l(B4[t(B6[l(B4[l(B6H6H)])]H6H4)r(BH4H2H6B4)])])]
227,2521.0270789041665,C[f(B2[l(BB)]H6)r(B6[b(B2H4)r(B2H4H2)t(B6H6HH2)])]
228,2520.8945672611508,C[f(H)]<t(B[t(B[r(B6[b(B6[l(B[t(B[l(B2)])])]BH4)]B6[r(B[r(B)]H4)])])]H6)>
229,2520.7980016830043,C[f(B4[t(B[b(B2)]H2H6)b(B[t(B4[l(B4)]H4)]B[l(B[t(B4)]H2)]H4H4)])]
230,2520.6518980663977,C[r(B4[r(B4H)l(BH6)]H2)f(H6H6H2H4)]<t(B2)>
231,2520.5478404841697,C[f(B2[l(B4[l(B6H6H)]B6H4)]H4B4[b(B2[l(B2H)])]H2)]
232,2520.180671160384,C[r(B)f(B[b(B)r(B2[t(B6H4)]H2H4)]HH2H4H6HH4)]
233,2519.4201643827755,C[r(B6[t(B2H4)r(B2H4B6)l(B[l(B)]H6H)]H4)f(H2)]
234,2518.639037829824,C[f(H6H6B6H2B6[t(B2H4H6H4H4H4)]H4H4B2)]
235,2518.5631814342937,C[l(B)r(B2B2[l(B[b(B4[t(B4HH6)b(B6)])])]H4)f(H2HH2H4)]
236,2518.0826285552766,C[r(B4[t(B2[l(B4HH4)])])f(B6[b(B4H)])]
237,2517.9513151479123,C[f(HH2)]<t(BH6HB4[l(B4[r(B6[t(B2)]H4H6H4)]B)]H6)>
